country	orgs	repos	star_count	forks	issues	contributors	size
Brazil	21	213	250	152	250	472	954260
Canada	25	181	1002	808	629	505	3018331
Italy	4	45	23	9	5	93	37771
France	8	84	198	67	69	139	1455566
Peru	1	4	1	0	1	15	26908
International	3	55	162	73	488	148	125835
Argentina	1	40	55	21	14	68	481214
Bolivia	2	8	5	10	2	10	9055
Norway	5	79	179	115	90	187	607396
New Zealand	9	55	49	16	22	109	433481
Ecuador	1	0	0	0	0	0	0
Saudi Arabia	1	0	0	0	0	0	0
Australia	26	131	218	110	379	250	1415037
U.S. County	14	148	117	86	111	188	762849
Germany	2	66	102	55	228	104	145731
U.S. Tribal Nations	2	0	0	0	0	0	0
Chile	1	16	41	9	44	36	129376
Belgium	2	34	48	21	82	93	93963
U.K. Councils	16	149	78	24	22	193	524545
Hong Kong	1	4	0	0	0	4	988
Spain	1	2	6	5	0	2	184185
U.K. Central	45	793	3115	1551	867	5078	14403393
U.S. Special District	10	88	132	42	1346	184	4161241
Finland	4	32	181	95	227	83	41055
U.S. Federal	127	1948	13491	6368	6686	6039	105150237
Philippines	2	4	0	1	0	3	1697
U.S. States	37	253	433	197	454	444	2584501
Sweden	5	43	67	16	326	108	302227
Latvia	1	1	1	0	0	1	764
Switzerland	6	44	20	27	49	102	408841
U.S. City	53	317	1092	485	595	556	3717268
European Union	1	40	65	35	30	152	2079835
Isle of Man	1	2	6	1	0	3	5636
Estonia	1	5	671	129	6	5	10210
Mexico	3	14	0	1	10	26	337685
South Africa	1	0	0	0	0	0	0
India	1	3	0	1	9	4	24808
Malaysia	1	1	0	0	0	1	0
U.S. Military and Intelligence	6	23	684	154	186	72	793763
Colombia	3	8	11	24	1	17	106333
Paraguay	2	4	4	1	0	9	51141
Japan	1	21	183	20	15	4	7197
